# a saved Score, digested — see digestVoices() for why this is not the note log
# 12477 calls over 192 bars, and the whole log hashes to dad1987d

## voices
  playPart      5440
  stab          1779
  motif          978
  kick           960
  hat            928
  gatedChord     707
  playHue        677
  bass           506
  perc           310
  sub            192

## bars
#  bar  calls  checksum
     0     47  9afc1846
     1     51  eab3aa0c
     2     53  759a8269
     3     53  64b7ca8b
     4     50  7cf45d62
     5     52  87f0d2c6
     6     52  3125b510
     7     52  c3cb1273
     8     51  101bc896
     9     50  8406d9f3
    10     52  cb088047
    11     51  61bcd2b2
    12     52  b7d617c2
    13     52  b1735de0
    14     49  64cd268b
    15     51  f48b0dae
    16    103  c213cc0b
    17    112  5306420a
    18     80  1a965c20
    19     73  f3422c26
    20     73  342d66e5
    21     73  e0026777
    22     73  48bfc8dc
    23     73  ba6867fd
    24     73  114f4a9f
    25     73  a374146e
    26     73  e3685561
    27     73  6c53dbf0
    28     73  5e05b296
    29     73  07f91e7f
    30     73  62fa3481
    31     73  6ce8c680
    32     73  a28e7669
    33     73  5aad585c
    34     73  f0fa05b3
    35     73  376a310e
    36     73  af2c0f7e
    37     73  813a822b
    38     73  b80af450
    39     73  ce4b725d
    40     67  f6f92708
    41     67  224f04c1
    42     67  da738d66
    43     67  a8f10c77
    44     67  b9a9adb9
    45     67  ef31b500
    46     67  1a4d1b03
    47     65  541da0a3
    48     70  f671ece6
    49     71  161fd8a9
    50     71  191b6db3
    51     71  e50b39d6
    52     71  b8f58b27
    53     71  09dbd26e
    54     71  4b264201
    55     71  04b26e80
    56     71  4eb6354d
    57     71  e015bbd0
    58     71  8ece2e5b
    59     71  318f038e
    60     71  7d628c34
    61     71  9cea4ea5
    62     71  8f06f33a
    63     69  1bc18c66
    64     79  e6bff6f6
    65     79  c9ce88c8
    66     79  68fa7320
    67     79  f7421e12
    68     79  c3acb595
    69     79  4cf01479
    70     79  55f196e4
    71     79  82b68d20
    72     79  91ba8c99
    73     79  496534ef
    74     79  d5343f0b
    75     79  a0482329
    76     79  24f65372
    77     79  047204da
    78     79  d785967c
    79     79  87e807d8
    80     79  1a2f2911
    81     79  41245a62
    82     79  8f948557
    83     79  71360d00
    84     79  cec40d0f
    85     79  fdc8d588
    86     79  31bd1091
    87     79  9e1abe82
    88     79  94ed1929
    89     79  1c578fca
    90     79  cd67c324
    91     79  5239a053
    92     79  4de4f08a
    93     79  41663e33
    94     79  ae883f84
    95     77  d757eb8a
    96     63  d5cc0fc2
    97     63  dad6fce7
    98     63  19cc110c
    99     63  3518ff89
   100     63  78f2af5a
   101     63  097682db
   102     63  84618654
   103     63  5fdaea0d
   104     63  11c93836
   105     63  1c0356ff
   106     63  02009580
   107     63  1c07cba9
   108     63  4d7cd7b2
   109     63  302ff2a3
   110     63  5312f381
   111     63  8bdab5b4
   112     63  94f5cd48
   113     63  783db539
   114     63  38080536
   115     63  e6fa6c27
   116     63  49658097
   117     63  89254452
   118     63  9c241581
   119     63  04029bf4
   120     60  130b223b
   121     60  f8f5a7ff
   122     60  92ab3f03
   123     60  4c581657
   124     60  e805c774
   125     60  e29b2e24
   126     60  7f0a6c48
   127     58  4fb16cf9
   128     10  63da4146
   129     10  b1a22f4a
   130     10  43fa8506
   131     10  33fee99e
   132     10  3fa416c3
   133     10  99c0aaf3
   134     10  9d0125eb
   135     10  6fb7594b
   136     10  fd6e8e46
   137     10  c9f5f7ee
   138     10  187a5676
   139     10  9ff7ba0e
   140     10  fd82efff
   141     10  0556a4cf
   142     10  7d2e19bb
   143     10  6daa994b
   144     70  58ce868e
   145     68  4f445dc1
   146     68  7ab7d9f7
   147     68  7c4a5c49
   148     68  a33b8cc8
   149     68  0a7b57d2
   150     68  257f5476
   151     68  ffd09944
   152     68  8006d155
   153     68  d8f9f413
   154     68  505a00bd
   155     68  ca0dcccf
   156     68  5c8415fa
   157     68  35fb95fc
   158     68  60c85d76
   159     68  01b00af4
   160     75  6b4eb596
   161     75  b0a90966
   162     75  0ee5fae4
   163     75  fafff730
   164     75  f80dbdea
   165     75  8ab01328
   166     75  a95a72d4
   167     75  5776b422
   168     75  42bf6f8e
   169     75  d7b8984e
   170     75  69e7ee79
   171     75  8799534d
   172     75  fa9b4eb7
   173     75  516937ad
   174     75  4c8ab241
   175     75  897953af
   176     75  cd770802
   177     75  4e25c5f3
   178     75  d0bf1ca0
   179     75  94b6b339
   180     75  649fdf2e
   181     75  b7075843
   182     75  759260e4
   183     75  28691d09
   184     75  938be225
   185     75  e81404b0
   186     75  ab3964bf
   187     75  61276bb2
   188     75  87a112b6
   189     75  96aff0ab
   190     75  99cf9df5
   191     73  2a2ca32b
